2016-06-07 14:17:25,553 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: appbaseio:appbase-droid:0.0.1-SNAPSHOT @ /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/pom.xml.
2016-06-07 14:17:26,279 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /appbasedroid/src/main/java
2016-06-07 14:17:26,280 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /appbasedroid/src/test/java
2016-06-07 14:17:26,404 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2016-06-07 14:17:27,749 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:17:27,755 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-07 14:17:27,758 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:17:27,758 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-07 14:18:36,202 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:18:36,220 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-07 14:18:36,224 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:18:36,226 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-07 14:18:37,854 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:18:37,855 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-07 14:18:37,856 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 14:18:37,857 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 02:00:37,763 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 02:00:37,769 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 02:00:37,772 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 02:00:37,772 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 11:36:29,819 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 11:36:29,822 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 11:36:29,824 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 11:36:29,825 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:13:29,951 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:13:29,957 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 12:13:29,959 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:13:29,960 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:19:10,832 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:19:10,833 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
2016-06-08 12:19:10,835 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:19:10,835 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/test/resources
2016-06-08 12:21:05,182 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 12:21:05,183 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tirthshah/Desktop/Tirth/appbase-droid/appbasedroid/src/main/resources
